"","Econ","optimalstart","month","solar","Econ:optimalstart","Econ:month","optimalstart:month","Econ:solar","optimalstart:solar","month:solar","Econ:optimalstart:month","Econ:optimalstart:solar","Econ:month:solar","optimalstart:month:solar","Econ:optimalstart:month:solar","s(temperature):occ0","s(temperature):occ1","s(hours2)","s(prev_week):dayFriday","s(prev_week):dayMonday","s(prev_week):daySaturday","s(prev_week):daySunday","s(prev_week):dayThursday","s(prev_week):dayTuesday","s(prev_week):dayWednesday"
"33",0,34.0069763297478,1.73484665810933,4.84776780383462,0,0,-7.73761768326999,0,38.8847822454594,0.950561671893211,0,0,0,-3.38586863337629,0,0,107.217910433629,80.2270755191289,91.3034750855711,0,0,0,0,0,0
"34",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,107.217910433629,81.2754092856222,67.8956905322236,0,0,0,0,0,0
"35",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,115.700705787124,70.9173570560485,73.9181389010807,0,0,0,0,0,0
"36",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,130.782599787362,54.2687571375941,70.3902036695716,0,0,0,0,0,0
"37",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,143.000820755255,36.5926355399705,73.8930648759584,0,0,0,0,0,0
"38",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,143.000820755255,23.1268779569133,70.4944339905828,0,0,0,0,0,0
"39",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,147.989615240097,16.2521983118184,72.337632963905,0,0,0,0,0,0
"40",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,152.254566785169,12.8969793605016,69.8570405810549,0,0,0,0,0,0
"41",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,155.841816988858,9.37645669244376,67.2805465946679,0,0,0,0,0,0
"42",0,0,1.73484665810933,4.84776780383462,0,0,0,0,0,0.950561671893211,0,0,0,0,0,0,155.841816988858,2.00586589712563,66.4482001471829,0,0,0,0,0,0
